id,category,prefix,bg_ch,bg_text,sb_canto,sb_ch,sb_text,cci,name,full_name,url,date,location,year,month,day,month_Eng,mmm_dd,yy_mmm_dd,size,duration
1,Bg,BG 0.1,0,1,,,,,Intro to Bhagavad Gita-1,BG 0.01 Intro to Bhagavad Gita-1 19Feb1966_at_NY.mp3,https://mega.co.nz/#!uBNUmCCY!emYpVtsZ9NxXL9dsic8piYdYJH4iEpeBIB8JBO5swhE,19-02-1966,NY,1966,2,19,Feb,Feb-19,66Feb19,29063380,60
2,Bg,BG 0.2,0,2,,,,,Intro to Bhagavad Gita-2,BG 0.02 Intro to Bhagavad Gita-2 19Feb1966_at_NY.mp3,https://mega.co.nz/#!eJVCETYC!aXaBPC-wNf6nb3Ltkp6YkA2w-6QdKEYh1UBPvMcdBvI,19-02-1966,NY,1966,2,19,Feb,Feb-19,66Feb19,29043318,59
3,Bg,BG 0.3,0,3,,,,,Intro to Bhagavad Gita-3,BG 0.03 Intro to Bhagavad Gita-3 19Feb1966_at_NY.mp3,https://mega.co.nz/#!2R8FTCQB!gf6bab4o_6iynxUbZOXd--9bb-AOlHn4mQnos_hUahE,19-02-1966,NY,1966,2,19,Feb,Feb-19,66Feb19,27973970,57
4,Bg,BG 0.4,0,4,,,,,"Intro to Bhagavad Gita, Everyone Has Individuality","BG 0.04 Intro to Bhagavad Gita, Everyone Has Individuality 23Nov1968_at_LA.mp3",https://mega.co.nz/#!Cc93hBZT!vLvdprj0xQab2EKOiPpAwWKxUIO2rYHwLN6KUeeqFgw,23-11-1968,LA,1968,11,23,Nov,Nov-23,68Nov23,31120393,64
5,Bg,BG 1.1,1,1,,,,,"The Material World Means Politics, Jealousy, Diplomacy, Envy","BG 1.01 The Material World Means Politics, Jealousy, Diplomacy, Envy 7Jul1973_at_LON.mp3",https://mega.co.nz/#!nME1QTKL!I1lnK6mBv32HP8G6io39z0KNw4Q-4S4Gna6w49sBI8Y,07-07-1973,LON,1973,7,7,Jul,Jul-07,73Jul7,11760314,24
6,Bg,BG 1.2,1,2,,,,,Death Is God,BG 1.02 Death Is God 9Jul1973_at_LON.mp3,https://mega.co.nz/#!6B8CyZqL!oqnd-FBwUOaH7AuduI9R3Hlq5slfe9aAEVKmVeNdZuc,09-07-1973,LON,1973,7,9,Jul,Jul-09,73Jul9,9474659,19
7,Bg,BG 1.4,1,4,,,,,Everything (Even Dictatorship) Can Be Utilized for Krsna,BG 1.04 Everything (Even Dictatorship) Can Be Utilized for Krsna 10Jul1973_at_LON.mp3,https://mega.co.nz/#!2VF2ET7A!uD2NOf_LS0sNGfXV5Ju0X3gjPDEnpz07qX4y4h-lBQ0,10-07-1973,LON,1973,7,10,Jul,Jul-10,73Jul10,19651588,40
8,Bg,BG 1.7,1,7,,,,,Vaisnavism Is Not Cowardism,BG 1.07 Vaisnavism Is Not Cowardism 11Jul1973_at_LON.mp3,https://mega.co.nz/#!yBVGBbhT!46NoJtqqulmHOpEOimq3oN_SE4KTNY8giKnb8AP4us0,11-07-1973,LON,1973,7,11,Jul,Jul-11,73Jul11,7152490,14
9,Bg,BG 1.10,1,10,,,,,The KC Movement Should Touch Everything-Even Politics,BG 1.10 The KC Movement Should Touch Everything-Even Politics 12Jul1973_at_LON.mp3,https://mega.co.nz/#!CFd32YjT!H1EZmeixZFpP6u6ORSNqp-_J5b--5Xo1T50B4OMsBWw,12-07-1973,LON,1973,7,12,Jul,Jul-12,73Jul12,11534401,23
10,Bg,BG 1.11,1,11,,,,,Wanting to Be Cheated,BG 1.11 Wanting to Be Cheated 13Jul1973_at_LON.mp3,https://mega.co.nz/#!HNF3VBII!NQOX-uRoYiw70v0kPRUNYt-9TRnMHfxKVmVbePOnl0I,13-07-1973,LON,1973,7,13,Jul,Jul-13,73Jul13,21011596,43
11,Bg,BG 1.13,1,13,,,,,People Want to Be Cheated,BG 1.13 People Want to Be Cheated 14Jul1973_at_LON.mp3,https://mega.co.nz/#!3dUDzYRQ!o_EE0llS2khw0Yrg1tmtdEGi_1dE5Rl74xx44pd9Mx4,14-07-1973,LON,1973,7,14,Jul,Jul-14,73Jul14,14833115,30
12,Bg,BG 1.15,1,15,,,,,Spiritual Communism-Everything Belongs to God,BG 1.15 Spiritual Communism-Everything Belongs to God 15Jul1973_at_LON.mp3,https://mega.co.nz/#!uAlECDzR!_TiWJxqNmd4XcUTbmC42A3tTFuumi3nT776h1s72t5Y,15-07-1973,LON,1973,7,15,Jul,Jul-15,73Jul15,15232705,31
13,Bg,BG 1.16,1,16,,,,,Everybody Wants to Be Served,BG 1.16 Everybody Wants to Be Served 16Jul1973_at_LON.mp3,https://mega.co.nz/#!rd1GEI7D!IyI11UTXFmI-xNN0qBkb2AdTvO6hWXOWljW-G3hvVGc,16-07-1973,LON,1973,7,16,Jul,Jul-16,73Jul16,7320305,15
14,Bg,BG 1.20,1,20,,,,,"First, Second, and Third-Class Rascal","BG 1.20 First, Second, and Third-Class Rascal 17Jul1973_at_LON.mp3",https://mega.co.nz/#!eU93ETrD!37B9_P84a44KVekLQP_x8fjDPEhR3HtyQ0LJX82PzdY,17-07-1973,LON,1973,7,17,Jul,Jul-17,73Jul17,14533869,30
15,Bg,BG 1.21,1,21,,,,,Fallible & Infallible Religion,BG 1.21 Fallible & Infallible Religion 18Jul1973_at_LON.mp3,https://mega.co.nz/#!SFcyiSIB!WytLxrQBMCUsO6k60uwSW3hcjeo2FEFYY-Wtv0eu92g,18-07-1973,LON,1973,7,18,Jul,Jul-18,73Jul18,18342935,37
16,Bg,BG 1.23,1,23,,,,,How to Enjoy Real Bliss,BG 1.23 How to Enjoy Real Bliss 19Jul1973_at_LON.mp3,https://mega.co.nz/#!DZlBXKbI!JbA4BBcK9x30Ks9OjdHVRHJJ1CdcEAZjdEG0tUXai88,19-07-1973,LON,1973,7,19,Jul,Jul-19,73Jul19,12704447,26
17,Bg,BG 1.24,1,24,,,,,If You Stay with Krishna..You Will Never Be in Darkness,BG 1.24 If You Stay with Krishna..You Will Never Be in Darkness 20Jul1973_at_LON.mp3,https://mega.co.nz/#!uBdiiTZL!WetLfCjWB3WFLFD5rcxsB7Yk_f7aRGvXp05WBMgCMDE,20-07-1973,LON,1973,7,20,Jul,Jul-20,73Jul20,16960979,35
18,Bg,BG 1.26,1,26,,,,,"Society, Friendship and Love","BG 1.26 Society, Friendship and Love 21Jul1973_at_LON.mp3",https://mega.co.nz/#!eIcxgTwR!Xsfk5YlrkDEHJnM987KavplyFpiXyYOQ4FcnybCapYw,21-07-1973,LON,1973,7,21,Jul,Jul-21,73Jul21,15072403,31
