vani_index,sp_index,server_type,file_id,canto,chapter,text,prefix,display_name,speaker,category_name,category,encrypt_id
1,,drive,1_5q6KZa3fxxbfAKLAO4m-f5rUqOfIjl_,,,,,19.Material world place of Suffering.mp3,dd,dd series,1. dd series,uutljbbd
2,,drive,108Up1ryj2IUVvTvGQ8gEMDzhyRO5_L0n,,,,,27.Krsna is equal to all.mp3,dd,dd series,1. dd series,bspeqadb
3,,drive,10fC-j44wxUZ6V0w4w_NOmeCzYqYUNJIz,,,,,49.06D_D_49_2ND_PART (2).mp3,dd,dd series,1. dd series,ijzfbxvo
4,,drive,10HhzR5mbWIRRn9fJmvfWli7-C_Xx65Bo,,,,,43.01DD45.mp3,dd,dd series,1. dd series,wnqoslmi
5,,drive,11aUhYguB5YvzwnVZ52FsKiDIzVYfxQUN,,,,,38.Impersonalism-4.mp3,dd,dd series,1. dd series,cbyotfcu
6,,drive,11KCE_Br7HVKr1FYRADBy52FuA_gu_d6o,,,,,10.Consciousness & super consciousness.mp3,dd,dd series,1. dd series,ytilkook
7,,drive,11lzT6OVcEpRPo9KAeOlBhcNFdkbfinjA,,,,,25.Krsna Reciprocate .mp3,dd,dd series,1. dd series,cprbxxse
8,,drive,12LpFImWRvE82Pj1SycH_dKuSVSEbrZRL,,,,,29.Four types of people surrender to Krsna.mp3,dd,dd series,1. dd series,umtnbncs
9,,drive,12ZAzPNIbiKS49-kJpI6JKOdnOxMLdCw6,,,,,8.Lord Krsna the supreme.mp3,dd,dd series,1. dd series,xibuzqzu
10,,drive,13FnXRCd_GJjVD6x29R-r4lPGEmg5TFBC,,,,,47.04DD48_2ND_PART.mp3,dd,dd series,1. dd series,genrcqdf
11,,drive,14_g9X88vOcT1KT6pvp-35uBQE88zFy0_,,,,,3.Surrender(2).mp3,dd,dd series,1. dd series,fgamuuiq
12,,drive,1456GQNAgx7sl2Dm7cF4YQSOzOsIW2skA,,,,,31.Demigods-1.mp3,dd,dd series,1. dd series,iwxugrls
13,,drive,16Qnam5OvW8ASQZQ8cjThxuLlCcoPqcaw,,,,,22.Purpose of Vedas to Know Krsna.mp3,dd,dd series,1. dd series,wygxjtdx
14,,drive,182MCYiCuG7TE7tsHV89spRWiWWJlm7Yi,,,,,45.02DD45_2ND_PART.mp3,dd,dd series,1. dd series,dnhtxzyb
15,,drive,18b9FNh8g4TePA_RXuq9zt57JhWyDsR6V,,,,,1.Real Freedom.mp3,dd,dd series,1. dd series,aqzgozdr
16,,drive,18j45l5JVkwDriH-CAIWKc-saWaU2ie6U,,,,,11.Eternal Soul.mp3,dd,dd series,1. dd series,vtivseqr
17,,drive,18jjSpT-xL2t0W-5XWSto0nPZkZhaI0L-,,,,,18.Material world-Abode of Miseries.mp3,dd,dd series,1. dd series,evnpmolx
18,,drive,18wdHYUpdUbufP6C4px99nNG87KRvGstS,,,,,2.Surrender(1).mp3,dd,dd series,1. dd series,vkrmwyin
19,,drive,1a9GzSNP7i1aqwUqZaEehBF6RMBEXm0t1,,,,,39.Impersonalism-5.mp3,dd,dd series,1. dd series,afczlwot
20,,drive,1BhKS1qu04WQIjOGH_s8kRaTUqE0NOJ6e,,,,,48.05DD49_1ST_PART_.mp3,dd,dd series,1. dd series,acheyaqk
21,,drive,1BSU4rdfr5TTQj1hP5xbVZREh0j4fu8ki,,,,,33.Demigods-3.mp3,dd,dd series,1. dd series,alxdhqzc
22,,drive,1C_-o7Rstc37mgtRhOs3qV0mkZMEJf-2N,,,,,21.Parmatma the source of memory Knowledge and fergetfullnes.mp3,dd,dd series,1. dd series,yobgsmgo
23,,drive,1CAmZcXQeNyJ75alt4iWON1a_ElU-JZAN,,,,,26.Krsna's Devotee never perishes.mp3,dd,dd series,1. dd series,dlvwvdqp
24,,drive,1CjKPfjtdfRpZrX4DVkR8gKwFK5-pClgV,,,,,42.Impersonalism-8.mp3,dd,dd series,1. dd series,sgzxanyl
25,,drive,1Dgsp7PrzP9faxf8XbSibtUJQEq0aWmDv,,,,,37.Impersonalism-3.mp3,dd,dd series,1. dd series,cdpbyizt
26,,drive,1etJoYMxCJqQsEuxYVRz9UAkC_D5oLOcH,,,,,14.We are eternal.mp3,dd,dd series,1. dd series,amblyptx
27,,drive,1GiRxBHp9teIMTQY7Dr4_9fpNSSR_l3Ab,,,,,7.Importance of cultivating Krsna Consciousness.mp3,dd,dd series,1. dd series,jrgtwhxr
28,,drive,1ii8iMTWO_L5S9us0UodFd75l5v6Vh3mP,,,,,34.Demigods-4.mp3,dd,dd series,1. dd series,tsloovgj
29,,drive,1IICNWQ73ymzYstvRxipptgpdlCQi0Hdj,,,,,32.Demigods-2.mp3,dd,dd series,1. dd series,ztjcjdvo
30,,drive,1J4hCJyZTKORY832yPMggQrtTapYbVJP-,,,,,5.Lord Krna the supreme enjoyer.mp3,dd,dd series,1. dd series,nzcpjoux
31,,drive,1jhxjwBDbvkpSAQv1Ov3BwcuKsl2Xk3UY,,,,,20.Parmatma director in Heart.mp3,dd,dd series,1. dd series,zthqfupi
32,,drive,1k5fbmJvVuh-f_4Hem-N5iG8bZRcRdknv,,,,,40.Impersonalism-6.mp3,dd,dd series,1. dd series,zrmuyaja
33,,drive,1K8bb9U0C1VBBKMc19ceIyII4qCfnWUEL,,,,,12.Understanding the Truth.mp3,dd,dd series,1. dd series,zzrfsico
34,,drive,1LB9Yz_eziITe8_rVEF99LkPBs8iH-Hef,,,,,48.05DD49_1ST_PART_ (2).mp3,dd,dd series,1. dd series,opulwyar
35,,drive,1LXN4paiMTyCwS_KcDQ0roXJ6zi0NF8eQ,,,,,36.Impersonalism-2.mp3,dd,dd series,1. dd series,ehytqvev
36,,drive,1mkG4mPlqgDMRfVAZecTaIaiVOzDetb65,,,,,6.Science of the soul.mp3,dd,dd series,1. dd series,etudpkzz
37,,drive,1Mo61oQmIUBkfrdx9qm0Nn27XAEM8wc4i,,,,,47.04DD48_2ND_PART (2).mp3,dd,dd series,1. dd series,pabkyqyk
38,,drive,1My-qRqvRmGHBvffTMYNvi0FtOWS8OZBx,,,,,9.A leaf a flower...with love.mp3,dd,dd series,1. dd series,ghkerjle
39,,drive,1nsMNaEdr4_ygRsd_u3zHhPG_ZdeFS33G,,,,,15.Changing dress for the soul.mp3,dd,dd series,1. dd series,vmilbhyu
40,,drive,1nUfSWNN7EIxZm_CVDXw5Z1RhzHMzw8dg,,,,,46.03DD481ST_PART.mp3,dd,dd series,1. dd series,sihrpyrr
41,,drive,1oWRyAcsAWNQ_eU4A6-j5eqAojH1jULK5,,,,,30.PERFECTION_OF_KNOWLEDGE.mp3,dd,dd series,1. dd series,pykcevax
42,,drive,1oyD7UhNYG_nUh6K23klwIB-AUhoeFq1P,,,,,35.Impersonalism-1.mp3,dd,dd series,1. dd series,wswpkfku
43,,drive,1PPIItyI9J9ktgkKEqYXxUeGgIkv3-fQf,,,,,45.02DD45_2ND_PART (2).mp3,dd,dd series,1. dd series,zumgpjjv
44,,drive,1qAc0Oex3chlulMQbKhtQ0goXaIlTid-N,,,,,43.01DD45 (2).mp3,dd,dd series,1. dd series,otsywrlh
45,,drive,1QNi2yi_lbZnt0qiz5goa7EjnQhk7ylb4,,,,,17.Spiritual life the higer taste.mp3,dd,dd series,1. dd series,lktughag
46,,drive,1qq_7hxCn8rZtlA2su0fO8L_sKONA2fbg,,,,,41.Impersonalism-7.mp3,dd,dd series,1. dd series,awmpooxl
47,,drive,1Sbi73gwi5M93jH2plIE2lrV_ofYuBJU6,,,,,23.Faith in the Shastra .mp3,dd,dd series,1. dd series,loaskkgv
48,,drive,1T55CmGYwN3P-TPMD1kP7G2Hokilf1X5b,,,,,28.Four types of people donot surrender.mp3,dd,dd series,1. dd series,adayfvrn
49,,drive,1XbwHsVW-533OrGi30XU40py8UtShaeZi,,,,,49.06D_D_49_2ND_PART.mp3,dd,dd series,1. dd series,utacxkob
50,,drive,1xLHeHIjSGVvf1bfBTNK1TGOJDA_OaQEN,,,,,4.Krsna is the origin of everything.mp3,dd,dd series,1. dd series,jahswqqd
51,,drive,1ZKJtFu6mYLK1ySh80RwOoIkYhaPwdMA7,,,,,46.03DD481ST_PART (2).mp3,dd,dd series,1. dd series,cvlhoafw
52,,drive,1-yp11zdexuI1wbHqsc3lgoA4dWU_N2Lu,,,,,3 RSP_SAVMML_07-Meaning Of Tulasi Arati-27.5.04.mp3,hgrsp,Mahajana Series,1. Mahajana Series,nhoudrsx
53,,drive,108qDQw8oOTvGMW5DrRLUw4InmCaXqP4D,,,,,2 RSP_SAVMML_06-Meaning Of Narasimha Arati-17.5.04.mp3,hgrsp,Mahajana Series,1. Mahajana Series,epipogfg
54,,drive,146CIRf9LTFGR9EUdl4TYJnUhuc-9iL_P,,,,,10 10_RSP_Mahajan_Active Service To SP_8-5-04.mp3,hgrsp,Mahajana Series,1. Mahajana Series,mkrvpjmc
55,,drive,15fozROhTggVcrI8HIKxKfJdqT8uM5SVB,,,,,6 RSP_SAVMML_08-Meaning OF Gurupuja-23.6.04.mp3,hgrsp,Mahajana Series,1. Mahajana Series,drezztlo
56,,drive,1aurKoLLIiTfKEMjPwmlQg0IEENMscU12,,,,,1 RSP_SAVMML_03-Meaning Of Mangal Aarati.mp3,hgrsp,Mahajana Series,1. Mahajana Series,eutvgdpg
57,,drive,1ChGMiBcOrngsbzFXHDupGFZGggODWrG4,,,,,4 13_RSP_Mahajan_Inspirational Attraction towards Vaishnava-I-16_6_4.mp3,hgrsp,Mahajana Series,1. Mahajana Series,wosrztld
58,,drive,1JVw8CCRdHdmbNA5IMYiEoTZvRqv9IL7u,,,,,9 16_RSP_Mahajan_Living with devotees_14-5-05.mp3,hgrsp,Mahajana Series,1. Mahajana Series,dprhqyxk
59,,drive,1l5-yUEsyXzWJpx1AvXTFj1HcIQIGzLIx,,,,,12 12_RSP_Mahajan_how to enjoy now & later_26-8-05.mp3,hgrsp,Mahajana Series,1. Mahajana Series,yjmnjjjy
60,,drive,1N7ZLSISaY6a6oOwO6rJqVEwYTAofHJ9v,,,,,11 11_RSP_Mahajan_Devotional service-Mercy or endeavor_29-6-05.mp3,hgrsp,Mahajana Series,1. Mahajana Series,ubhueyal
61,,drive,1tegQnnQLsf4sdhD_RPCPhtewm1jTo1-u,,,,,13 RSP_mahajan_leave sense gratification and cooperate for SP pleasure_17-5-06.mp3,hgrsp,Mahajana Series,1. Mahajana Series,erxjfcsw
62,,drive,1xPhag0Q53yEdPGsKlDRpU-lymNCh7KWu,,,,,5 14_RSP_Mahajan_Inspirational Attraction towards Vaishnava-II-18_6_4.mp3,hgrsp,Mahajana Series,1. Mahajana Series,oiefkuqm
63,,drive,1Y5MHSa_UYSGdAttVPnQdYdCbpBg-cp0F,,,,,8 RSP_SAVMML_10-Meaning Of Gurupuja-30.6.04.mp3,hgrsp,Mahajana Series,1. Mahajana Series,voakgasy
64,,drive,1ycOarKpmrTFUX4HQvXFJDrZTmOwXUHcF,,,,,7 RSP_SAVMML_09-Meaning of Gurupuja-25.6.04.mp3,hgrsp,Mahajana Series,1. Mahajana Series,gqjmxgzf
65,,drive,1-hxwaO3k8yG2gCiqRUZpVU_UZuEY0jkH,,,,,10-07-20_avodhya_Teachings of Queen Kunti series-6 (SB 1.8.23).mp3,hgrsp,TQK Series,2. TQK Series,camdkxog
66,,drive,104CcxxDR4U_cMMt5NvUxSzwEUP3UYifD,,,,,11-12-01_SURBHIKUNJ VOICE_TQK 5(SB 1.8.22)_RSP_.mp3,hgrsp,TQK Series,2. TQK Series,avnwtfhu
67,,drive,10At-SsuNyB5K-XzcJvYPBXzDTuq5ZKnS,,,,,10-08-30_COET_Teachings of Queen Kunti series-8 (SB 1.8.25)_RSP.MP3,hgrsp,TQK Series,2. TQK Series,obogeehf
68,,drive,11mziFGJcliY19kmciTtV5xaHvvV6slb9,,,,,10-09-05_Ayodhya VOICE_Touch of superior energy - TQA-11_RSP.MP3,hgrsp,TQK Series,2. TQK Series,pymdmmit
69,,drive,12I5RqCcZssSM9jzIpEN2BRKoCP186706,,,,,10-11-13_Vrajadham VOICE_TQK 19_RSP.MP3,hgrsp,TQK Series,2. TQK Series,leywmqzr
70,,drive,14HdUZcoR2Evm9FHnPjFEW7zTpnTo4e3U,,,,,10-07-22_VIT_Teachings of Queen Kunti series-4 (SB 1.8.21).mp3,hgrsp,TQK Series,2. TQK Series,yukmaded
71,,drive,19K2S6i9J6w1Hj19yjyNKqnu-wjdl6aCt,,,,,12-01-11_AIT VOICE_TQK 22_Beauty in Krishna's presence_RSP.mp3,hgrsp,TQK Series,2. TQK Series,jbwcrvzf
72,,drive,1Dl4JodiZ4GJeYAgRqScjapWkA19erTHq,,,,,10-07-12_GGD_Teachings of Queen Kunti series-1 (SB 1.8.18).mp3,hgrsp,TQK Series,2. TQK Series,gmjcgomt
